iter	Logloss
0	0.6612183553
1	0.6306276482
2	0.6057129611
3	0.58285407
4	0.5644966521
5	0.5447369639
6	0.5271573322
7	0.5138024498
8	0.4991495721
9	0.4862846554
10	0.4757985037
11	0.465791253
12	0.4562755182
13	0.4473361264
14	0.4390801787
15	0.4311501716
16	0.4248287072
17	0.4180806614
18	0.4123230852
19	0.407233661
20	0.402586011
21	0.3983727852
22	0.3940645678
23	0.3908041052
24	0.3872236861
25	0.3843695499
26	0.3821611034
27	0.3795848689
28	0.3771958771
29	0.3753216334
30	0.3731026721
31	0.3711075607
32	0.3690279531
33	0.3666810183
34	0.3644572824
35	0.3625219429
36	0.3604449396
37	0.3581614766
38	0.3565921419
39	0.354926687
40	0.3538087124
41	0.3521531284
42	0.3507945911
43	0.3493943469
44	0.3480647912
45	0.3464096631
46	0.3452028862
47	0.3445832699
48	0.3436301946
49	0.3426610715
50	0.3415684099
51	0.3402320005
52	0.3395705635
53	0.3388866631
54	0.3381635993
55	0.3372212902
56	0.3365679531
57	0.3360521916
58	0.3354732889
59	0.3347882483
60	0.3337655271
61	0.3329581161
62	0.3322618043
63	0.3316914235
64	0.3307864919
65	0.3298783595
66	0.3292641133
67	0.3286515956
68	0.3279105199
69	0.3273721567
70	0.3270748198
71	0.3265434291
72	0.326022351
73	0.3253192836
74	0.3248348667
75	0.3244299483
76	0.3241299676
77	0.3235571115
78	0.3231145467
79	0.3226954796
80	0.3223846858
81	0.3220072585
82	0.3214665403
83	0.3211841399
84	0.3208130837
85	0.3201698532
86	0.3199032382
87	0.3193920403
88	0.3191025046
89	0.3188691701
90	0.3183043505
91	0.3178486448
92	0.3174286684
93	0.3171469929
94	0.3164953073
95	0.316278012
96	0.3158799846
97	0.3155858617
98	0.3151775891
99	0.3147783213
100	0.314546247
101	0.3142063918
102	0.3138741938
103	0.3134175344
104	0.3131340865
105	0.3128431327
106	0.3124357814
107	0.3120997742
108	0.3116185586
109	0.3111002243
110	0.3108106957
111	0.3105025429
112	0.3100227739
113	0.3097846047
114	0.3094458827
115	0.3090416362
116	0.3087396488
117	0.3083404603
118	0.308231568
119	0.307900499
120	0.3073570289
121	0.3071299175
122	0.3068699222
123	0.3064968677
124	0.3062801075
125	0.3057930815
126	0.3053189233
127	0.3049528179
128	0.3045615776
129	0.3043380736
130	0.3041048479
131	0.3037800055
132	0.3034911487
133	0.3032890234
134	0.3030218699
135	0.3026368025
136	0.3024512032
137	0.3021830091
138	0.3019163307
139	0.3016941486
140	0.3014996675
141	0.3011144561
142	0.3008185039
143	0.3006486324
144	0.3004661917
145	0.300248619
